outer_fold,stage,role,configuration_id,TN,FP,FN,TP,accuracy,precision,recall,specificity,f1,balanced_accuracy,roc_auc,average_precision,threshold,predicted_positive_rate
1,1,baseline,k25__money-standard__pay-raw__blocks-none__payw-1,3114,624,493,569,0.76729166666666671,0.47694886839899409,0.53578154425612046,0.8330658105939005,0.50465631929046562,0.68442367742501053,0.73934229207034385,0.51549546500919308,0.27420273117945831,0.24854166666666661
2,1,baseline,k25__money-standard__pay-raw__blocks-none__payw-1,3160,578,485,577,0.77854166666666658,0.49956709956709949,0.54331450094161948,0.84537185660781156,0.52052322958953545,0.69434317877471563,0.75210995335733466,0.51304061098625586,0.28777345694719347,0.24062500000000001
3,1,baseline,k25__money-standard__pay-raw__blocks-none__payw-1,3157,581,471,591,0.78083333333333327,0.50426621160409546,0.55649717514124286,0.84456928838951295,0.52909579230080572,0.70053323176537796,0.74985931125237915,0.5224702336582,0.29126341598228489,0.24416666666666659
4,1,baseline,k25__money-standard__pay-raw__blocks-none__payw-1,3178,560,503,559,0.77854166666666658,0.49955317247542441,0.52636534839924665,0.85018726591760285,0.51260889500229245,0.6882763071584248,0.74604925340499506,0.4880986110886863,0.29340013641533291,0.233125
5,1,baseline,k25__money-standard__pay-raw__blocks-none__payw-1,3203,536,529,532,0.77812499999999984,0.49812734082396998,0.50141376060320453,0.85664616207542121,0.49976514795678723,0.67902996133931293,0.74723808121794388,0.50756424529431921,0.2940943888822265,0.2225
1,1,candidate,k51__money-standard__pay-raw__blocks-none__payw-1,3140,598,485,577,0.77437500000000004,0.49106382978723401,0.54331450094161948,0.84002140181915463,0.51586946803755018,0.69166795138038706,0.74652585700481344,0.5191665870105775,0.25200174662759889,0.2447916666666666
2,1,candidate,k75__money-standard__pay-raw__blocks-none__payw-1,3195,543,488,574,0.78520833333333317,0.51387645478961497,0.54048964218455742,0.8547351524879615,0.52684717760440558,0.69761239733625935,0.76320358228566176,0.52229081990628323,0.26079151387584443,0.23270833333333329
3,1,candidate,k101__money-standard__pay-raw__blocks-none__payw-1,3267,471,498,564,0.79812499999999986,0.54492753623188395,0.53107344632768361,0.8739967897271268,0.53791130185979974,0.7025351180274052,0.75637935933593914,0.53023342731785617,0.26375464146970301,0.21562500000000001
4,1,candidate,k51__money-standard__pay-raw__blocks-none__payw-1,3145,593,473,589,0.7779166666666667,0.49830795262267341,0.55461393596986808,0.84135901551631875,0.52495543672014255,0.69798647574309347,0.75163838785053794,0.49023930497121809,0.25702085914378198,0.24625
5,1,candidate,k75__money-standard__pay-raw__blocks-none__payw-1,3255,484,538,523,0.78708333333333325,0.51936444885799404,0.4929311969839773,0.87055362396362657,0.50580270793036752,0.68174241047380202,0.75195855691303348,0.53085006995538997,0.26816789093241727,0.2097916666666666
